number,encoding
7,(8 + 4) &times; (8 &minus; 1)/12

1,(2 + 6) &times; (4 &minus; 1)/24
2,((3 &times; 11) / 3) &minus; 9
3,((23 &times; 1) &minus; 5) / 6
4,((3 &times; 19) / 3) &minus; 15
5,((7 &times; 7) / 7) &minus; 2
6,((5 &times; 7) / 7) + 1
7,((3 &times; 4) / 3) + 3

1,((2 &times; 1) / 2) + 0
2,((2 &times; 13) &minus; 16) / 5
3,(1 + 5) &times; (10 &minus; 3)/14
4,((2 &times; 11) / 11) + 2
5,((4 &times; 27) / 6) &minus; 13
6,(9 + 8) &times; (7 &minus; 1)/17
7,((3 &times; 44) / 12) &minus; 4

1,((5 &times; 12) / 12) &minus; 4
2,((23 &times; 1) &minus; 3) / 10
3,(3 + 9) &times; (14 &minus; 13)/4
4,((11 &times; 20) / 11) &minus; 16
5,((3 &times; 14) &minus; 12) / 6
6,((6 &times; 10) / 3) &minus; 14
7,((3 &times; 22) &minus; 17) / 7

1,((2 &times; 3) / 3) &minus; 1
2,(4 + 4) &times; (8 &minus; 2)/24
3,((3 &times; 7) &minus; 3) / 6
4,((2 &times; 13) / 2) &minus; 9
5,((7 &times; 7) &minus; 4) / 9
6,((5 &times; 15) / 5) &minus; 9
7,((41 &times; 1) &minus; 13) / 4

1,((5 &times; 5) &minus; 20) / 5
2,((5 &times; 32) / 10) &minus; 14
3,((3 &times; 14) &minus; 12) / 10
4,((31 &times; 1) &minus; 19) / 3
5,((2 &times; 19) &minus; 3) / 7
6,((3 &times; 3) / 9) + 5
7,((3 &times; 10) / 5) + 1

1,(1 + 1) &times; (5 &minus; 4)/2
2,(3 + 9) &times; (14 &minus; 9)/30
3,((2 &times; 11) &minus; 7) / 5
4,(3 + 4) &times; (5 &minus; 1)/7
5,((23 &times; 1) &minus; 3) / 4
6,((2 &times; 15) / 2) &minus; 9
7,(3 + 4) &times; (12 &minus; 9)/3

1,(2 + 3) &times; (4 &minus; 3)/5
2,((2 &times; 13) &minus; 6) / 10
3,((4 &times; 24) / 6) &minus; 13
4,((2 &times; 3) / 3) + 2
5,((41 &times; 1) &minus; 11) / 6
6,((7 &times; 7) &minus; 13) / 6
7,((6 &times; 8) / 12) + 3

1,((2 &times; 20) / 5) &minus; 7
2,((10 &times; 14) / 10) &minus; 12
3,((2 &times; 23) &minus; 19) / 9
4,((53 &times; 1) &minus; 17) / 9
5,((2 &times; 2) / 2) + 3
6,((3 &times; 4) / 3) + 2
7,((4 &times; 6) / 12) + 5

1,((4 &times; 25) / 10) &minus; 9
2,((3 &times; 13) &minus; 19) / 10
3,((7 &times; 1) / 7) + 2
4,((3 &times; 7) / 7) + 1
5,((7 &times; 22) / 11) &minus; 9
6,((4 &times; 27) / 9) &minus; 6
7,((7 &times; 7) &minus; 14) / 5
