code,secret_number_R1,secret_number_R2,secret_number_R3,secret_number_R4,secret_number_R5,secret_number_R6,secret_number_R7,secret_number_R8,secret_number_R9,secret_number_R10,secret_number_R11,secret_number_R12,secret_number_R13,secret_number_R14,secret_number_R15,secret_number_R16,secret_number_R17,secret_number_R18,secret_number_R19,secret_number_R20,secret_number_R21,secret_number_R22,secret_number_R23,secret_number_R24,sender_message_R1,sender_message_R2,sender_message_R3,sender_message_R4,sender_message_R5,sender_message_R6,sender_message_R7,sender_message_R8,sender_message_R9,sender_message_R10,sender_message_R11,sender_message_R12,sender_message_R13,sender_message_R14,sender_message_R15,sender_message_R16,sender_message_R17,sender_message_R18,sender_message_R19,sender_message_R20,sender_message_R21,sender_message_R22,sender_message_R23,sender_message_R24,sender_choice_R1,sender_choice_R2,sender_choice_R3,sender_choice_R4,sender_choice_R5,sender_choice_R6,sender_choice_R7,sender_choice_R8,sender_choice_R9,sender_choice_R10,sender_choice_R11,sender_choice_R12,sender_choice_R13,sender_choice_R14,sender_choice_R15,sender_choice_R16,sender_choice_R17,sender_choice_R18,sender_choice_R19,sender_choice_R20,sender_choice_R21,sender_choice_R22,sender_choice_R23,sender_choice_R24,used
4v79g2gu,5.0,7.0,6.0,5.0,7.0,1.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,1.0,3.0,1.0,4.0,4.0,1.0,6.0,7.0,1.0,4.0,6.0,7.0,3.0,6.0,6.0,6.0,7.0,7.0,6.0,3.0,6.0,5.0,6.0,5.0,1.0,7.0,6.0,7.0,3.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,3.0,8.0,6.0,6.0,7.0,7.0,6.0,8.0,6.0,5.0,6.0,5.0,8.0,7.0,6.0,7.0,3.0,7.0,7.0,6.0,7.0,7.0,7.0,0
501oynda,2.0,4.0,4.0,1.0,7.0,7.0,3.0,1.0,3.0,7.0,1.0,6.0,6.0,2.0,2.0,1.0,7.0,3.0,5.0,3.0,5.0,1.0,1.0,7.0,6.0,5.0,4.0,6.0,5.0,4.0,5.0,7.0,3.0,7.0,6.0,1.0,7.0,5.0,2.0,6.0,7.0,1.0,6.0,5.0,2.0,6.0,5.0,5.0,6.0,5.0,8.0,6.0,5.0,4.0,5.0,7.0,8.0,8.0,6.0,1.0,7.0,5.0,2.0,6.0,8.0,1.0,6.0,5.0,2.0,6.0,5.0,5.0,0
5r1bqnb3,5.0,3.0,7.0,6.0,6.0,4.0,1.0,2.0,7.0,4.0,5.0,6.0,2.0,5.0,7.0,4.0,6.0,6.0,3.0,5.0,2.0,2.0,1.0,2.0,4.0,7.0,5.0,6.0,5.0,1.0,5.0,2.0,7.0,7.0,5.0,4.0,2.0,7.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,0.0,7.0,4.0,4.0,7.0,5.0,6.0,5.0,1.0,5.0,8.0,7.0,7.0,5.0,4.0,8.0,7.0,6.0,6.0,8.0,5.0,6.0,5.0,6.0,0.0,7.0,4.0,0
5zdn5z6s,6.0,6.0,4.0,7.0,5.0,7.0,1.0,5.0,6.0,1.0,3.0,2.0,4.0,6.0,1.0,4.0,4.0,6.0,3.0,7.0,7.0,5.0,4.0,6.0,3.0,2.0,4.0,7.0,5.0,6.0,7.0,5.0,4.0,4.0,3.0,6.0,5.0,3.0,5.0,7.0,2.0,5.0,5.0,3.0,7.0,6.0,5.0,5.0,3.0,2.0,8.0,8.0,8.0,6.0,7.0,5.0,4.0,4.0,8.0,6.0,5.0,3.0,5.0,7.0,2.0,5.0,5.0,3.0,7.0,6.0,5.0,5.0,0
6pfex18y,2.0,6.0,4.0,1.0,5.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,2.0,2.0,7.0,5.0,1.0,3.0,2.0,3.0,4.0,6.0,3.0,3.0,7.0,6.0,4.0,7.0,7.0,5.0,7.0,2.0,4.0,5.0,1.0,7.0,2.0,4.0,5.0,5.0,1.0,3.0,7.0,3.0,5.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,5.0,7.0,2.0,8.0,8.0,1.0,7.0,2.0,4.0,5.0,5.0,8.0,8.0,7.0,8.0,5.0,8.0,7.0,7.0,0
7ickgm1m,4.0,4.0,2.0,4.0,5.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,5.0,7.0,6.0,3.0,1.0,1.0,5.0,2.0,5.0,1.0,6.0,5.0,4.0,6.0,4.0,7.0,7.0,7.0,3.0,4.0,2.0,7.0,4.0,6.0,6.0,2.0,5.0,6.0,1.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,8.0,6.0,8.0,7.0,7.0,7.0,3.0,4.0,8.0,7.0,4.0,6.0,6.0,2.0,5.0,6.0,1.0,6.0,5.0,6.0,6.0,6.0,6.0,0
7zbsph3d,6.0,2.0,2.0,6.0,4.0,4.0,3.0,7.0,6.0,3.0,4.0,5.0,1.0,2.0,4.0,6.0,3.0,1.0,4.0,3.0,6.0,2.0,7.0,7.0,5.0,6.0,2.0,7.0,6.0,4.0,5.0,6.0,6.0,4.0,4.0,6.0,4.0,6.0,2.0,7.0,3.0,5.0,4.0,6.0,1.0,3.0,6.0,5.0,5.0,6.0,8.0,7.0,6.0,4.0,5.0,6.0,6.0,4.0,8.0,6.0,4.0,6.0,2.0,7.0,8.0,5.0,4.0,6.0,1.0,3.0,6.0,5.0,0
901lc5i2,1.0,3.0,3.0,2.0,6.0,6.0,7.0,7.0,5.0,5.0,5.0,3.0,1.0,7.0,2.0,1.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,6.0,1.0,6.0,5.0,2.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,3.0,1.0,6.0,7.0,7.0,2.0,7.0,7.0,5.0,4.0,2.0,7.0,7.0,8.0,6.0,5.0,8.0,8.0,6.0,8.0,6.0,6.0,7.0,7.0,8.0,1.0,6.0,7.0,7.0,2.0,7.0,7.0,5.0,4.0,2.0,7.0,7.0,0
9lzqiesu,6.0,1.0,1.0,3.0,1.0,4.0,6.0,7.0,3.0,2.0,4.0,2.0,3.0,7.0,2.0,3.0,5.0,4.0,6.0,4.0,2.0,1.0,3.0,3.0,6.0,4.0,7.0,4.0,1.0,2.0,7.0,2.0,6.0,6.0,4.0,6.0,3.0,6.0,3.0,3.0,5.0,4.0,6.0,5.0,6.0,4.0,3.0,7.0,6.0,4.0,7.0,4.0,8.0,2.0,7.0,2.0,6.0,6.0,8.0,6.0,8.0,6.0,3.0,3.0,8.0,8.0,8.0,5.0,6.0,4.0,8.0,7.0,0
9tchh8u2,6.0,1.0,1.0,4.0,7.0,3.0,7.0,3.0,6.0,3.0,5.0,2.0,4.0,3.0,4.0,2.0,7.0,6.0,4.0,2.0,7.0,6.0,4.0,6.0,6.0,4.0,7.0,4.0,6.0,6.0,7.0,2.0,5.0,7.0,2.0,7.0,4.0,1.0,4.0,6.0,7.0,6.0,4.0,2.0,7.0,6.0,4.0,6.0,8.0,4.0,7.0,8.0,6.0,6.0,8.0,2.0,5.0,7.0,2.0,7.0,8.0,1.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,6.0,8.0,6.0,0
a278zoa5,6.0,6.0,7.0,7.0,2.0,1.0,4.0,4.0,1.0,5.0,5.0,2.0,3.0,1.0,5.0,3.0,7.0,2.0,2.0,1.0,6.0,3.0,7.0,3.0,5.0,6.0,7.0,4.0,6.0,4.0,5.0,4.0,1.0,7.0,6.0,4.0,3.0,1.0,5.0,5.0,4.0,6.0,2.0,7.0,7.0,6.0,6.0,6.0,5.0,8.0,8.0,4.0,6.0,4.0,5.0,8.0,1.0,7.0,6.0,4.0,8.0,8.0,8.0,5.0,4.0,6.0,8.0,7.0,7.0,6.0,6.0,6.0,0
ah606ovm,6.0,5.0,3.0,4.0,5.0,6.0,7.0,6.0,7.0,4.0,7.0,7.0,4.0,3.0,7.0,2.0,7.0,4.0,5.0,3.0,1.0,6.0,5.0,1.0,6.0,1.0,3.0,7.0,5.0,6.0,7.0,6.0,3.0,4.0,7.0,6.0,7.0,3.0,3.0,6.0,7.0,4.0,6.0,6.0,2.0,3.0,6.0,4.0,6.0,1.0,3.0,7.0,5.0,6.0,7.0,8.0,3.0,4.0,8.0,6.0,7.0,3.0,3.0,6.0,8.0,8.0,6.0,6.0,2.0,3.0,6.0,4.0,0
annqj9mk,4.0,4.0,1.0,7.0,3.0,3.0,2.0,2.0,4.0,2.0,5.0,4.0,5.0,1.0,2.0,5.0,6.0,3.0,6.0,7.0,1.0,7.0,6.0,3.0,4.0,4.0,1.0,6.0,3.0,3.0,6.0,5.0,4.0,6.0,6.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,1.0,4.0,3.0,4.0,4.0,8.0,6.0,8.0,8.0,6.0,5.0,8.0,6.0,6.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,1.0,4.0,8.0,0
bvjdgduf,3.0,1.0,1.0,4.0,4.0,4.0,7.0,6.0,5.0,4.0,5.0,1.0,4.0,3.0,4.0,6.0,5.0,7.0,1.0,4.0,1.0,1.0,7.0,3.0,2.0,7.0,5.0,4.0,3.0,5.0,6.0,5.0,5.0,6.0,2.0,7.0,6.0,2.0,5.0,6.0,5.0,6.0,5.0,5.0,7.0,5.0,5.0,6.0,2.0,7.0,5.0,8.0,3.0,5.0,6.0,5.0,8.0,6.0,2.0,7.0,6.0,2.0,5.0,6.0,8.0,6.0,5.0,5.0,7.0,5.0,5.0,6.0,0
cgy3u092,2.0,6.0,4.0,1.0,3.0,6.0,3.0,2.0,4.0,5.0,6.0,6.0,2.0,2.0,2.0,4.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0,4.0,5.0,7.0,7.0,4.0,3.0,6.0,7.0,7.0,3.0,5.0,5.0,6.0,6.0,7.0,2.0,2.0,7.0,5.0,3.0,7.0,5.0,7.0,5.0,6.0,5.0,7.0,7.0,4.0,8.0,8.0,7.0,7.0,3.0,8.0,5.0,8.0,6.0,7.0,8.0,2.0,7.0,5.0,3.0,7.0,5.0,7.0,5.0,6.0,0
ch59kdre,3.0,2.0,2.0,4.0,6.0,6.0,1.0,5.0,5.0,2.0,5.0,4.0,2.0,5.0,7.0,6.0,1.0,7.0,7.0,3.0,1.0,7.0,6.0,1.0,3.0,4.0,6.0,4.0,5.0,4.0,6.0,5.0,7.0,5.0,4.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,5.0,5.0,5.0,4.0,1.0,8.0,4.0,6.0,8.0,5.0,4.0,6.0,5.0,7.0,5.0,4.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,5.0,5.0,5.0,4.0,8.0,0
ct0q6itq,2.0,4.0,1.0,6.0,5.0,3.0,6.0,1.0,4.0,6.0,2.0,4.0,6.0,6.0,6.0,1.0,7.0,4.0,6.0,1.0,5.0,7.0,3.0,2.0,6.0,3.0,4.0,6.0,5.0,6.0,6.0,2.0,6.0,5.0,7.0,6.0,6.0,5.0,2.0,7.0,1.0,7.0,6.0,1.0,5.0,5.0,6.0,2.0,6.0,3.0,4.0,8.0,8.0,6.0,6.0,2.0,6.0,5.0,7.0,6.0,6.0,5.0,2.0,7.0,1.0,7.0,8.0,8.0,5.0,5.0,6.0,8.0,0
dx4z8gbl,5.0,1.0,5.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,7.0,3.0,4.0,6.0,7.0,5.0,5.0,7.0,5.0,5.0,7.0,4.0,4.0,5.0,7.0,4.0,7.0,1.0,6.0,5.0,6.0,6.0,7.0,4.0,6.0,4.0,2.0,6.0,7.0,5.0,5.0,5.0,2.0,5.0,6.0,4.0,7.0,8.0,7.0,4.0,7.0,8.0,6.0,5.0,6.0,6.0,7.0,8.0,6.0,4.0,2.0,6.0,8.0,5.0,8.0,5.0,2.0,5.0,6.0,4.0,7.0,0
ejekyhc7,4.0,7.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0,5.0,1.0,6.0,3.0,4.0,2.0,7.0,6.0,3.0,6.0,5.0,1.0,4.0,3.0,2.0,0.0,3.0,3.0,6.0,3.0,1.0,7.0,6.0,7.0,5.0,5.0,3.0,7.0,7.0,4.0,5.0,5.0,4.0,7.0,5.0,1.0,6.0,5.0,2.0,0.0,3.0,8.0,6.0,8.0,8.0,7.0,6.0,7.0,5.0,5.0,3.0,7.0,7.0,4.0,5.0,5.0,4.0,7.0,5.0,1.0,6.0,5.0,8.0,0
ekko3dni,3.0,5.0,5.0,4.0,4.0,1.0,7.0,4.0,4.0,7.0,5.0,5.0,4.0,2.0,7.0,4.0,3.0,2.0,7.0,2.0,1.0,5.0,7.0,6.0,3.0,7.0,5.0,4.0,4.0,1.0,7.0,4.0,6.0,4.0,3.0,5.0,1.0,6.0,3.0,4.0,6.0,2.0,6.0,6.0,6.0,5.0,4.0,3.0,8.0,7.0,5.0,8.0,8.0,8.0,7.0,8.0,6.0,4.0,3.0,8.0,1.0,6.0,3.0,4.0,6.0,2.0,6.0,6.0,6.0,8.0,4.0,3.0,0
g9yzp9x1,4.0,7.0,3.0,3.0,7.0,5.0,4.0,2.0,7.0,7.0,7.0,3.0,5.0,1.0,3.0,2.0,5.0,6.0,3.0,7.0,6.0,6.0,7.0,5.0,4.0,6.0,5.0,4.0,6.0,6.0,1.0,3.0,5.0,6.0,6.0,6.0,3.0,2.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,4.0,6.0,5.0,4.0,6.0,6.0,1.0,3.0,5.0,6.0,6.0,6.0,3.0,2.0,6.0,5.0,6.0,6.0,7.0,6.0,8.0,8.0,6.0,7.0,0
gtwo2wtk,4.0,6.0,3.0,5.0,1.0,5.0,2.0,6.0,5.0,2.0,7.0,5.0,7.0,4.0,5.0,2.0,6.0,1.0,5.0,4.0,1.0,5.0,6.0,2.0,5.0,3.0,3.0,6.0,5.0,7.0,2.0,6.0,6.0,2.0,7.0,5.0,7.0,7.0,2.0,2.0,7.0,4.0,5.0,4.0,7.0,7.0,5.0,7.0,5.0,3.0,8.0,6.0,5.0,7.0,8.0,8.0,6.0,8.0,8.0,5.0,8.0,7.0,2.0,8.0,7.0,4.0,8.0,4.0,7.0,7.0,5.0,7.0,0
h2dydt1a,7.0,3.0,7.0,7.0,5.0,1.0,3.0,7.0,7.0,6.0,7.0,2.0,2.0,7.0,7.0,6.0,3.0,3.0,5.0,5.0,5.0,3.0,7.0,5.0,7.0,7.0,1.0,6.0,5.0,6.0,7.0,3.0,5.0,6.0,7.0,6.0,2.0,7.0,7.0,6.0,7.0,6.0,7.0,5.0,5.0,7.0,7.0,5.0,8.0,7.0,1.0,6.0,5.0,6.0,7.0,3.0,5.0,8.0,7.0,6.0,8.0,7.0,7.0,8.0,7.0,6.0,7.0,5.0,5.0,7.0,7.0,8.0,0
h6ny4sp5,5.0,7.0,2.0,2.0,4.0,6.0,3.0,4.0,1.0,2.0,7.0,5.0,1.0,6.0,4.0,6.0,3.0,2.0,7.0,3.0,5.0,7.0,6.0,6.0,5.0,7.0,2.0,7.0,4.0,6.0,6.0,6.0,5.0,2.0,7.0,5.0,1.0,6.0,7.0,3.0,7.0,2.0,5.0,3.0,4.0,7.0,2.0,5.0,8.0,8.0,8.0,7.0,8.0,8.0,6.0,6.0,5.0,8.0,8.0,8.0,8.0,8.0,7.0,3.0,7.0,8.0,5.0,8.0,4.0,7.0,2.0,5.0,0
hytch124,6.0,4.0,3.0,3.0,7.0,2.0,3.0,3.0,3.0,1.0,7.0,4.0,1.0,6.0,4.0,3.0,5.0,3.0,1.0,7.0,5.0,4.0,7.0,4.0,3.0,7.0,5.0,7.0,7.0,2.0,3.0,7.0,3.0,4.0,3.0,6.0,5.0,6.0,1.0,7.0,4.0,7.0,6.0,5.0,6.0,2.0,2.0,4.0,3.0,7.0,5.0,7.0,8.0,8.0,8.0,7.0,8.0,4.0,3.0,6.0,5.0,6.0,1.0,7.0,4.0,7.0,6.0,5.0,6.0,2.0,2.0,8.0,0
i00e409l,5.0,1.0,2.0,7.0,7.0,4.0,6.0,4.0,7.0,6.0,4.0,5.0,4.0,6.0,6.0,1.0,7.0,5.0,3.0,4.0,1.0,6.0,1.0,1.0,5.0,7.0,5.0,7.0,7.0,4.0,6.0,4.0,4.0,5.0,4.0,6.0,7.0,6.0,7.0,1.0,7.0,6.0,2.0,3.0,7.0,6.0,1.0,4.0,8.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0,4.0,5.0,8.0,6.0,7.0,6.0,7.0,8.0,8.0,6.0,2.0,3.0,7.0,8.0,8.0,4.0,0
innquncr,4.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0,4.0,3.0,7.0,5.0,4.0,5.0,3.0,2.0,4.0,3.0,6.0,3.0,4.0,1.0,4.0,6.0,6.0,2.0,6.0,6.0,7.0,6.0,6.0,6.0,4.0,6.0,7.0,3.0,6.0,7.0,7.0,5.0,7.0,3.0,7.0,7.0,7.0,7.0,8.0,6.0,6.0,2.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,7.0,3.0,6.0,7.0,7.0,5.0,7.0,8.0,7.0,7.0,7.0,7.0,0
jrtg9t6q,6.0,6.0,5.0,4.0,5.0,3.0,5.0,6.0,1.0,2.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,7.0,5.0,5.0,5.0,3.0,2.0,6.0,2.0,5.0,6.0,2.0,5.0,7.0,6.0,7.0,5.0,5.0,6.0,1.0,6.0,4.0,6.0,5.0,1.0,4.0,2.0,6.0,5.0,5.0,5.0,5.0,2.0,5.0,6.0,2.0,8.0,7.0,6.0,7.0,5.0,5.0,6.0,1.0,6.0,4.0,6.0,5.0,1.0,4.0,2.0,6.0,5.0,5.0,5.0,5.0,0
jvopp27d,1.0,1.0,3.0,7.0,4.0,7.0,1.0,3.0,5.0,7.0,1.0,7.0,7.0,6.0,6.0,4.0,2.0,6.0,6.0,5.0,4.0,5.0,3.0,5.0,3.0,6.0,3.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,7.0,5.0,6.0,3.0,1.0,7.0,5.0,5.0,5.0,6.0,5.0,3.0,7.0,3.0,6.0,3.0,6.0,5.0,6.0,5.0,6.0,8.0,5.0,6.0,8.0,5.0,6.0,3.0,1.0,7.0,5.0,5.0,8.0,6.0,8.0,8.0,7.0,0
ldabagse,1.0,2.0,4.0,2.0,4.0,6.0,3.0,3.0,5.0,7.0,6.0,3.0,2.0,4.0,4.0,5.0,6.0,7.0,5.0,6.0,1.0,7.0,2.0,4.0,5.0,5.0,4.0,7.0,3.0,6.0,6.0,6.0,6.0,2.0,3.0,7.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,3.0,3.0,2.0,5.0,5.0,8.0,7.0,3.0,8.0,6.0,6.0,6.0,2.0,3.0,7.0,5.0,6.0,8.0,8.0,5.0,6.0,5.0,6.0,6.0,3.0,3.0,2.0,0
lpb96yya,4.0,1.0,3.0,4.0,7.0,6.0,2.0,4.0,1.0,3.0,3.0,5.0,3.0,6.0,6.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,7.0,5.0,2.0,3.0,3.0,2.0,0.0,4.0,2.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,6.0,4.0,4.0,7.0,3.0,5.0,7.0,4.0,5.0,7.0,2.0,3.0,8.0,2.0,0.0,4.0,8.0,5.0,4.0,8.0,8.0,5.0,5.0,5.0,6.0,4.0,8.0,7.0,8.0,8.0,7.0,4.0,5.0,7.0,0
luz49iou,1.0,6.0,6.0,1.0,7.0,3.0,7.0,6.0,1.0,7.0,1.0,3.0,7.0,1.0,6.0,2.0,7.0,1.0,2.0,4.0,6.0,7.0,5.0,5.0,4.0,3.0,4.0,1.0,3.0,5.0,2.0,7.0,5.0,3.0,7.0,5.0,4.0,1.0,6.0,7.0,6.0,1.0,2.0,5.0,6.0,4.0,7.0,6.0,4.0,3.0,4.0,8.0,3.0,5.0,2.0,7.0,5.0,3.0,7.0,5.0,4.0,8.0,8.0,7.0,6.0,8.0,8.0,5.0,8.0,4.0,7.0,6.0,0
m0vrgatf,5.0,1.0,7.0,5.0,4.0,6.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,4.0,6.0,3.0,5.0,4.0,5.0,2.0,2.0,7.0,6.0,0.0,1.0,5.0,5.0,3.0,6.0,1.0,2.0,1.0,2.0,7.0,4.0,3.0,1.0,6.0,5.0,6.0,5.0,6.0,6.0,2.0,2.0,7.0,6.0,0.0,8.0,5.0,8.0,3.0,8.0,8.0,2.0,8.0,8.0,7.0,8.0,3.0,8.0,6.0,5.0,6.0,8.0,6.0,6.0,8.0,8.0,8.0,6.0,0
